datetime,temp,precip,Number of Bicycle Hires
26/10/2014,13.7,0.0,26514
27/10/2014,15.2,0.0,33716
28/10/2014,15.0,0.2,35320
29/10/2014,13.6,1.002,23281
30/10/2014,15.5,0.795,32503
31/10/2014,17.3,0.001,36478
01/11/2014,15.5,0.001,31912
02/11/2014,14.1,6.029,15887
03/11/2014,9.2,8.001,22347
04/11/2014,8.2,0.449,23525
05/11/2014,8.3,5.986,27970
06/11/2014,7.7,0.2,28274
07/11/2014,11.4,1.475,26779
08/11/2014,11.0,5.981,17473
09/11/2014,9.6,4.189,24099
10/11/2014,10.4,0.604,28303
11/11/2014,11.9,0.202,28993
12/11/2014,11.6,2.216,24878
13/11/2014,11.6,0.602,27839
14/11/2014,11.4,10.619,21442
15/11/2014,10.0,0.799,22842
16/11/2014,10.1,0.402,17849
17/11/2014,8.9,7.606,21398
18/11/2014,10.1,4.172,26094
19/11/2014,9.5,0.199,28807
20/11/2014,8.9,0.001,29068
21/11/2014,8.1,0.797,24070
22/11/2014,12.8,1.197,18347
23/11/2014,9.5,30.565,6030
24/11/2014,4.8,0.2,25884
25/11/2014,6.9,0.805,24359
26/11/2014,9.1,4.023,23096
27/11/2014,10.2,2.222,26765
28/11/2014,11.3,0.0,26782
29/11/2014,10.8,0.003,24337
30/11/2014,9.6,0.001,19998
01/12/2014,7.7,0.0,24983
02/12/2014,7.4,0.603,21614
03/12/2014,6.9,0.002,25376
04/12/2014,4.6,0.605,19993
05/12/2014,4.8,0.995,22939
06/12/2014,2.8,0.2,17431
07/12/2014,7.2,0.798,12789
08/12/2014,4.8,0.0,23519
09/12/2014,5.1,0.001,23925
10/12/2014,8.1,0.409,25028
11/12/2014,7.4,1.985,23028
12/12/2014,7.6,12.765,20436
13/12/2014,3.2,0.0,18255
14/12/2014,6.0,0.2,14441
15/12/2014,7.2,0.602,22940
16/12/2014,4.8,0.001,23087
17/12/2014,11.2,3.046,22120
18/12/2014,13.1,0.001,23196
19/12/2014,9.9,1.205,21966
20/12/2014,7.3,0.0,14690
21/12/2014,8.7,0.0,11802
22/12/2014,12.7,0.0,18552
23/12/2014,11.8,0.0,16551
24/12/2014,8.9,1.0,10385
25/12/2014,5.5,0.0,39145
26/12/2014,3.9,3.0,7678
27/12/2014,4.0,5.199,6349
28/12/2014,3.3,0.0,9293
29/12/2014,1.5,0.001,12411
30/12/2014,1.2,0.2,13120
31/12/2014,3.4,0.2,12811
01/01/2015,8.7,0.2,9615
02/01/2015,8.9,0.997,15389
03/01/2015,5.0,12.954,5779
04/01/2015,2.1,0.199,9367
05/01/2015,7.6,0.0,20566
06/01/2015,7.5,1.989,20765
07/01/2015,6.6,0.202,22504
08/01/2015,9.2,13.392,15769
09/01/2015,12.2,0.998,22285
10/01/2015,10.3,0.8,14877
11/01/2015,6.1,0.001,14738
12/01/2015,10.4,3.404,17354
13/01/2015,8.2,11.403,24966
14/01/2015,5.8,0.199,23767
15/01/2015,8.3,6.432,23123
16/01/2015,5.2,0.797,22894
17/01/2015,3.0,0.399,15443
18/01/2015,3.6,0.8,13373
19/01/2015,2.4,0.199,23193
20/01/2015,1.7,0.001,23384
21/01/2015,3.4,0.004,22987
22/01/2015,3.0,0.0,23432
23/01/2015,1.9,0.0,22093
24/01/2015,5.5,1.012,17748
25/01/2015,4.5,0.001,15267
26/01/2015,8.5,0.2,22867
27/01/2015,6.2,0.0,25222
28/01/2015,6.9,0.806,21685
29/01/2015,3.2,0.6,21421
30/01/2015,3.7,0.601,21405
31/01/2015,3.0,1.008,10385
01/02/2015,3.7,3.779,11420
02/02/2015,0.8,0.0,21770
03/02/2015,2.2,2.187,20028
04/02/2015,3.1,0.002,22056
05/02/2015,3.1,0.602,21396
06/02/2015,3.1,0.0,21146
07/02/2015,3.8,0.001,13324
08/02/2015,5.6,0.0,15983
09/02/2015,6.0,0.001,24078
10/02/2015,5.8,0.0,24399
11/02/2015,5.2,0.0,23870
12/02/2015,4.1,0.0,23429
13/02/2015,6.7,2.003,17836
14/02/2015,7.1,6.205,14644
15/02/2015,6.7,0.397,17253
16/02/2015,6.1,4.209,16548
17/02/2015,5.8,2.0,25288
18/02/2015,5.8,0.0,25340
19/02/2015,6.8,2.014,17081
20/02/2015,6.4,3.014,21014
21/02/2015,4.3,1.998,16490
22/02/2015,4.0,6.0,9214
23/02/2015,6.4,0.809,21857
24/02/2015,6.7,0.799,23758
25/02/2015,8.7,2.793,21708
26/02/2015,9.2,6.19,20131
27/02/2015,5.1,0.006,24540
28/02/2015,8.3,0.003,13677
01/03/2015,8.8,5.997,15817
02/03/2015,5.6,0.2,22379
03/03/2015,6.0,0.007,24001
04/03/2015,6.3,0.0,24544
05/03/2015,6.8,0.001,24959
06/03/2015,8.8,0.0,25527
07/03/2015,10.4,0.0,27754
08/03/2015,9.5,0.0,20207
09/03/2015,8.1,0.001,24230
10/03/2015,8.9,0.001,27878
11/03/2015,8.8,0.0,27610
12/03/2015,10.6,0.0,28324
13/03/2015,9.0,0.0,25840
14/03/2015,6.2,0.0,18270
15/03/2015,6.3,0.202,10744
16/03/2015,6.7,6.561,19950
17/03/2015,8.8,0.202,25956
18/03/2015,7.1,0.198,26618
19/03/2015,7.2,0.0,24241
20/03/2015,7.7,0.0,25424
21/03/2015,7.8,0.0,16304
22/03/2015,6.2,0.0,18782
23/03/2015,7.4,0.0,25741
24/03/2015,7.4,0.413,24161
25/03/2015,6.0,0.996,25779
26/03/2015,8.2,4.018,20415
27/03/2015,8.1,0.0,26567
28/03/2015,11.1,0.198,19242
29/03/2015,10.9,2.013,8987
30/03/2015,9.0,2.196,22235
31/03/2015,11.0,0.8,22898
01/04/2015,7.8,0.0,23677
02/04/2015,9.0,2.004,22818
03/04/2015,9.3,0.811,11503
04/04/2015,8.9,0.206,13828
05/04/2015,9.2,0.001,19685
06/04/2015,9.4,0.0,25724
07/04/2015,11.2,0.0,29525
08/04/2015,11.6,0.0,30882
09/04/2015,11.6,0.0,31671
10/04/2015,13.7,0.0,32299
11/04/2015,11.5,1.992,25415
12/04/2015,11.3,0.0,29457
13/04/2015,11.4,0.0,28203
14/04/2015,14.5,0.001,34830
15/04/2015,17.3,0.0,37709
16/04/2015,12.1,0.0,30656
17/04/2015,11.1,0.0,30001
18/04/2015,9.9,0.0,29846
19/04/2015,8.4,0.0,19906
20/04/2015,11.5,0.0,32163
21/04/2015,11.9,0.0,35103
22/04/2015,10.9,0.0,32559
23/04/2015,11.1,0.0,32935
24/04/2015,12.2,0.0,32332
25/04/2015,13.7,2.793,25441
26/04/2015,9.6,3.805,19565
27/04/2015,8.9,0.0,30735
28/04/2015,9.0,0.0,32024
29/04/2015,9.5,3.994,26197
30/04/2015,10.3,0.0,31854
01/05/2015,9.4,0.0,29822
02/05/2015,10.2,0.0,22474
03/05/2015,14.3,1.418,21375
04/05/2015,14.7,0.002,26933
05/05/2015,14.3,7.006,26633
06/05/2015,12.2,5.192,24556
07/05/2015,13.1,0.2,31283
08/05/2015,12.9,0.2,27029
09/05/2015,14.3,0.002,27995
10/05/2015,14.4,0.0,32399
11/05/2015,16.7,0.0,33872
12/05/2015,13.8,0.199,33930
13/05/2015,13.5,0.0,36877
14/05/2015,9.7,12.994,15657
15/05/2015,11.3,2.99,32522
16/05/2015,14.9,0.198,32720
17/05/2015,12.6,0.0,31506
18/05/2015,11.9,2.004,24385
19/05/2015,10.3,0.417,28408
20/05/2015,10.9,0.203,30650
21/05/2015,13.5,0.0,34922
22/05/2015,14.7,0.0,33624
23/05/2015,14.8,0.595,23989
24/05/2015,15.5,0.001,30267
25/05/2015,13.7,0.0,29607
26/05/2015,14.8,0.0,34880
27/05/2015,14.1,0.0,36496
28/05/2015,14.5,0.0,34496
29/05/2015,11.5,2.009,26155
30/05/2015,12.1,0.0,29432
31/05/2015,13.2,0.425,15075
01/06/2015,11.6,0.2,27893
02/06/2015,15.0,0.207,28070
03/06/2015,15.1,0.0,35630
04/06/2015,16.3,0.0,39687
05/06/2015,18.6,0.999,35048
06/06/2015,14.3,0.0,33088
07/06/2015,14.8,0.0,35757
08/06/2015,13.6,0.0,32745
09/06/2015,12.0,0.0,33447
10/06/2015,14.0,0.0,35862
11/06/2015,17.0,0.0,38969
12/06/2015,19.2,0.0,35367
13/06/2015,17.0,0.214,30566
14/06/2015,14.5,0.199,25402
15/06/2015,14.4,0.994,34723
16/06/2015,16.5,0.0,38166
17/06/2015,18.7,0.0,38799
18/06/2015,17.9,0.0,38875
19/06/2015,16.3,0.0,36220
20/06/2015,16.3,1.004,26546
21/06/2015,17.2,0.405,30621
22/06/2015,14.4,1.003,29711
23/06/2015,15.9,0.0,37663
24/06/2015,18.0,0.0,39183
25/06/2015,18.9,0.0,38856
26/06/2015,19.8,0.198,37281
27/06/2015,18.9,0.0,36885
28/06/2015,18.3,0.996,25846
29/06/2015,19.6,0.0,39280
30/06/2015,22.1,0.0,43582
01/07/2015,27.5,0.0,42891
02/07/2015,21.6,0.001,38467
03/07/2015,20.2,0.595,39940
04/07/2015,21.6,3.035,38640
05/07/2015,17.9,0.603,29963
06/07/2015,18.4,0.001,38895
07/07/2015,18.9,0.004,38120
08/07/2015,17.4,0.598,41921
09/07/2015,17.1,0.0,73094
10/07/2015,20.2,0.397,43266
11/07/2015,20.7,0.0,42676
12/07/2015,17.9,4.582,23498
13/07/2015,18.2,1.201,27646
14/07/2015,18.7,0.202,35600
15/07/2015,19.3,1.003,34878
16/07/2015,19.7,0.0,39609
17/07/2015,19.9,0.046,38845
18/07/2015,17.9,0.0,38906
19/07/2015,19.2,0.601,36989
20/07/2015,18.9,0.596,32140
21/07/2015,19.6,0.001,41001
22/07/2015,18.6,0.002,38133
23/07/2015,17.1,0.0,39368
24/07/2015,15.5,26.969,16135
25/07/2015,16.3,4.029,32982
26/07/2015,14.6,6.008,12497
27/07/2015,17.2,0.401,32103
28/07/2015,16.3,0.0,36310
29/07/2015,15.0,0.001,37021
30/07/2015,15.8,0.0,36350
31/07/2015,16.2,0.0,36932
01/08/2015,16.3,0.0,43492
02/08/2015,19.0,0.0,43679
03/08/2015,19.5,0.0,35609
04/08/2015,17.7,0.0,37864
05/08/2015,17.5,0.212,39010
06/08/2015,19.2,0.007,63963
07/08/2015,18.8,0.0,39788
08/08/2015,20.1,0.0,39362
09/08/2015,20.4,0.0,40758
10/08/2015,19.6,0.001,35625
11/08/2015,17.7,0.207,34567
12/08/2015,18.9,0.601,36838
13/08/2015,18.7,9.315,26185
14/08/2015,18.7,0.206,25638
15/08/2015,17.1,1.007,34137
16/08/2015,16.2,0.0,30948
17/08/2015,17.5,0.0,36003
18/08/2015,16.9,0.0,34776
19/08/2015,17.2,0.009,31903
20/08/2015,18.4,3.019,32857
21/08/2015,21.5,0.001,36329
22/08/2015,22.6,0.0,44724
23/08/2015,19.5,5.976,27202
24/08/2015,15.4,16.038,17520
25/08/2015,15.4,4.425,28401
26/08/2015,17.7,11.54,23969
27/08/2015,16.0,0.217,30856
28/08/2015,16.3,0.199,33201
29/08/2015,17.4,0.6,22828
30/08/2015,17.7,2.002,25191
31/08/2015,15.2,10.225,9709
01/09/2015,14.9,0.815,25739
02/09/2015,13.3,0.598,30313
03/09/2015,13.1,1.991,31163
04/09/2015,13.6,0.001,29913
05/09/2015,12.8,0.4,22475
06/09/2015,13.3,0.001,29539
07/09/2015,14.0,0.0,31917
08/09/2015,13.9,0.0,32968
09/09/2015,15.5,0.0,33332
10/09/2015,16.3,0.001,35956
11/09/2015,17.0,0.199,34690
12/09/2015,17.4,0.202,29143
13/09/2015,13.9,0.0,26342
14/09/2015,14.1,1.06,25923
15/09/2015,13.6,0.601,28311
16/09/2015,13.4,21.143,18764
17/09/2015,13.9,0.815,32336
18/09/2015,14.5,2.101,30124
19/09/2015,14.6,0.026,33855
20/09/2015,14.4,0.0,31380
21/09/2015,13.9,4.008,23831
22/09/2015,11.6,12.959,20567
23/09/2015,13.0,0.2,34193
24/09/2015,15.0,3.391,29537
25/09/2015,13.0,0.0,35064
26/09/2015,12.8,0.0,32955
27/09/2015,13.8,0.0,30024
28/09/2015,13.8,0.001,33341
29/09/2015,14.7,0.0,34591
30/09/2015,14.4,0.0,35143
01/10/2015,14.3,0.0,34845
02/10/2015,14.0,0.0,35782
03/10/2015,12.3,0.0,29224
04/10/2015,12.6,0.0,30096
05/10/2015,15.5,0.831,20833
06/10/2015,16.3,8.02,25972
07/10/2015,14.3,2.206,28817
08/10/2015,11.4,0.0,33877
09/10/2015,11.9,0.001,34392
10/10/2015,12.9,0.0,29683
11/10/2015,12.6,0.0,27984
12/10/2015,11.2,0.0,31469
13/10/2015,10.5,0.0,31753
14/10/2015,10.3,0.004,30815
15/10/2015,11.1,0.201,31062
16/10/2015,12.4,0.001,30295
17/10/2015,11.8,0.0,24555
18/10/2015,12.8,0.002,23282
19/10/2015,12.6,0.0,30127
20/10/2015,11.1,0.001,32949
21/10/2015,11.6,7.393,19085
22/10/2015,13.4,0.001,30539
23/10/2015,12.2,0.0,30515
24/10/2015,12.2,2.009,17058
25/10/2015,8.0,0.206,23591
26/10/2015,11.6,0.0,30606
27/10/2015,14.5,0.0,32635
28/10/2015,12.9,12.359,24040
29/10/2015,13.1,0.012,27534
30/10/2015,14.4,4.025,24195
31/10/2015,12.9,0.0,27765
01/11/2015,10.4,0.199,23085
02/11/2015,10.7,0.002,28256
03/11/2015,11.7,0.0,30911
04/11/2015,12.9,5.38,23675
05/11/2015,14.6,4.804,24685
06/11/2015,15.5,1.008,25677
07/11/2015,15.2,3.029,15031
08/11/2015,13.5,0.001,18943
09/11/2015,13.3,0.201,28623
10/11/2015,15.1,0.001,29429
11/11/2015,14.2,0.0,30049
12/11/2015,13.6,0.001,29108
13/11/2015,10.0,2.983,25410
14/11/2015,10.2,6.007,8983
15/11/2015,15.1,0.201,17711
16/11/2015,13.0,0.598,26676
17/11/2015,14.0,6.001,23773
18/11/2015,13.0,1.987,26636
19/11/2015,11.0,2.19,23852
20/11/2015,8.3,0.0,25993
21/11/2015,3.8,2.997,12847
22/11/2015,2.7,0.0,13205
23/11/2015,4.2,0.001,24070
24/11/2015,8.3,6.979,21348
25/11/2015,8.3,0.399,26187
26/11/2015,9.1,0.2,26826
27/11/2015,10.9,0.201,23667
28/11/2015,7.2,1.994,16523
29/11/2015,11.2,0.797,11453
30/11/2015,11.5,6.167,21886
01/12/2015,12.6,3.587,26714
02/12/2015,12.6,0.002,27975
03/12/2015,12.7,0.0,26038
04/12/2015,10.4,3.202,26130
05/12/2015,12.3,0.0,16667
06/12/2015,13.2,0.204,15627
07/12/2015,12.8,0.602,25897
08/12/2015,11.5,3.993,23565
09/12/2015,8.7,0.023,27739
10/12/2015,11.3,0.201,23251
11/12/2015,9.5,6.203,23439
12/12/2015,10.1,0.199,16815
13/12/2015,8.4,1.8,12364
14/12/2015,9.0,0.199,23972
15/12/2015,11.3,0.428,20310
16/12/2015,13.9,4.98,25740
17/12/2015,13.7,0.202,25977
18/12/2015,12.7,0.001,25886
19/12/2015,14.8,0.001,18883
20/12/2015,12.5,2.004,13118
21/12/2015,10.1,2.398,18239
22/12/2015,13.7,1.005,17571
23/12/2015,10.7,4.011,18568
24/12/2015,10.2,1.998,8968
25/12/2015,10.4,0.204,22871
26/12/2015,14.6,0.41,10362
27/12/2015,14.0,0.007,9507
28/12/2015,11.7,0.0,13851
29/12/2015,11.1,1.993,15717
30/12/2015,12.2,0.006,12379
31/12/2015,9.0,10.014,14024
01/01/2016,5.9,3.8,9922
02/01/2016,10.0,1.257,7246
03/01/2016,8.0,10.214,4894
04/01/2016,8.0,0.201,20644
05/01/2016,8.4,0.218,22934
06/01/2016,7.0,0.598,23199
07/01/2016,7.5,13.003,18225
08/01/2016,6.1,0.996,20948
09/01/2016,9.0,3.058,11674
10/01/2016,6.7,3.015,14447
11/01/2016,6.4,3.478,21188
12/01/2016,5.6,0.212,22924
13/01/2016,5.1,0.401,24726
14/01/2016,3.9,1.213,22266
15/01/2016,3.1,0.0,22594
16/01/2016,2.6,0.0,16258
17/01/2016,2.6,1.211,11826
18/01/2016,3.3,0.0,22905
19/01/2016,0.9,0.0,23919
20/01/2016,1.1,0.0,23919
21/01/2016,4.0,0.0,23490
22/01/2016,7.4,0.81,18431
23/01/2016,7.7,0.397,17424
24/01/2016,12.1,1.005,16474
25/01/2016,11.5,0.0,25886
26/01/2016,9.5,2.007,20329
27/01/2016,11.7,1.043,21816
28/01/2016,6.9,0.0,25490
29/01/2016,11.2,0.2,22701
30/01/2016,7.9,0.248,16528
31/01/2016,9.1,1.998,11098
01/02/2016,12.4,0.0,23742
02/02/2016,8.4,0.001,24643
03/02/2016,5.5,0.0,24601
04/02/2016,9.5,0.199,25344
05/02/2016,10.3,0.402,22806
06/02/2016,10.6,0.207,13255
07/02/2016,7.5,6.009,14219
08/02/2016,8.2,11.615,19924
09/02/2016,5.7,0.001,23460
10/02/2016,5.9,0.601,23769
11/02/2016,3.9,0.001,25393
12/02/2016,4.6,0.0,22995
13/02/2016,4.2,0.207,9948
14/02/2016,4.3,3.589,13782
15/02/2016,3.6,0.0,21918
16/02/2016,3.5,0.0,24537
17/02/2016,4.6,0.412,19168
18/02/2016,4.9,6.003,23696
19/02/2016,5.3,0.005,22300
20/02/2016,10.5,2.404,11224
21/02/2016,12.7,0.002,14745
22/02/2016,9.0,4.386,20538
23/02/2016,6.3,0.0,25832
24/02/2016,4.1,0.001,25634
25/02/2016,2.6,0.0,24296
26/02/2016,4.4,0.0,23714
27/02/2016,5.0,0.0,14871
28/02/2016,5.2,0.0,13549
29/02/2016,5.5,0.0,23738
01/03/2016,8.7,4.01,20876
02/03/2016,5.9,3.994,20775
03/03/2016,6.7,0.202,24559
04/03/2016,5.6,0.218,24179
05/03/2016,4.0,0.401,12340
06/03/2016,3.8,0.795,12591
07/03/2016,4.7,0.0,22785
08/03/2016,4.7,0.0,23308
09/03/2016,7.9,15.374,19280
10/03/2016,7.2,0.203,23648
11/03/2016,6.3,0.6,21026
12/03/2016,7.1,0.001,21834
13/03/2016,5.9,0.0,21938
14/03/2016,6.9,0.0,25597
15/03/2016,6.6,0.0,25379
16/03/2016,7.5,0.199,25489
17/03/2016,7.0,0.198,27198
18/03/2016,5.5,0.0,23210
19/03/2016,7.2,0.0,18060
20/03/2016,7.8,0.001,17163
21/03/2016,9.1,0.0,25990
22/03/2016,8.6,0.0,29312
23/03/2016,8.8,0.0,27052
24/03/2016,8.2,1.998,19477
25/03/2016,10.6,6.808,25612
26/03/2016,9.9,0.003,11211
27/03/2016,8.4,6.042,10149
28/03/2016,8.6,23.558,10316
29/03/2016,7.9,4.4,18945
30/03/2016,8.6,2.002,26700
31/03/2016,9.0,0.008,28486
01/04/2016,8.2,0.0,27310
02/04/2016,10.7,0.201,24416
03/04/2016,11.3,3.003,21068
04/04/2016,10.7,2.001,25182
05/04/2016,11.1,0.0,30155
06/04/2016,8.9,0.604,24132
07/04/2016,7.5,1.003,22338
08/04/2016,8.7,0.017,27357
09/04/2016,8.4,2.004,19858
10/04/2016,8.1,0.001,23389
11/04/2016,11.7,3.205,24162
12/04/2016,11.9,4.383,30801
13/04/2016,11.8,0.0,30285
14/04/2016,12.5,0.795,30566
15/04/2016,10.2,15.219,15919
16/04/2016,6.8,0.605,17801
17/04/2016,7.1,0.002,18274
18/04/2016,8.7,0.0,28512
19/04/2016,11.5,0.0,33719
20/04/2016,9.6,0.0,34577
21/04/2016,10.8,0.0,31937
22/04/2016,8.9,2.992,20532
23/04/2016,7.4,3.002,22060
24/04/2016,7.2,0.798,18873
25/04/2016,7.7,1.394,24389
26/04/2016,6.0,0.205,27862
27/04/2016,6.3,0.0,28431
28/04/2016,7.1,6.247,28901
29/04/2016,8.1,5.743,25658
30/04/2016,8.5,0.001,24844
01/05/2016,10.1,0.0,29664
02/05/2016,12.4,0.004,19598
03/05/2016,10.8,0.001,32037
04/05/2016,12.2,0.0,36514
05/05/2016,14.4,0.0,39104
06/05/2016,16.0,0.0,40117
07/05/2016,18.1,0.0,44532
08/05/2016,20.2,0.0,45301
09/05/2016,18.5,2.986,30821
10/05/2016,16.1,5.017,21673
11/05/2016,16.2,20.018,27922
12/05/2016,17.7,0.611,38525
13/05/2016,13.2,0.0,35109
14/05/2016,10.3,0.0,30442
15/05/2016,12.1,0.0,34725
16/05/2016,13.4,0.0,37441
17/05/2016,13.6,0.0,36810
18/05/2016,12.5,3.035,24335
19/05/2016,13.7,1.002,34655
20/05/2016,15.4,0.001,36101
21/05/2016,15.3,0.002,26785
22/05/2016,15.1,0.008,31115
23/05/2016,14.9,0.006,35451
24/05/2016,12.9,0.003,36580
25/05/2016,10.9,0.0,31919
26/05/2016,14.2,0.0,37442
27/05/2016,15.6,0.0,36133
28/05/2016,14.8,0.0,31301
29/05/2016,14.1,0.0,31246
30/05/2016,14.3,0.0,24041
31/05/2016,12.5,16.982,16227
01/06/2016,12.8,2.198,27156
02/06/2016,11.4,0.201,29162
03/06/2016,11.1,0.0,29580
04/06/2016,15.3,0.0,30140
05/06/2016,17.0,0.0,40836
06/06/2016,17.3,0.0,39528
07/06/2016,18.2,4.075,35137
08/06/2016,18.1,15.958,34588
09/06/2016,16.5,0.0,41546
10/06/2016,18.4,0.0,40139
11/06/2016,18.6,0.621,29018
12/06/2016,16.6,4.388,18109
13/06/2016,16.1,2.391,27571
14/06/2016,15.6,11.332,30218
15/06/2016,15.9,0.215,37704
16/06/2016,15.7,0.413,31406
17/06/2016,15.4,10.971,32018
18/06/2016,14.5,5.995,29692
19/06/2016,16.3,0.0,31372
20/06/2016,17.4,15.983,22309
21/06/2016,17.8,0.0,39003
22/06/2016,18.4,0.001,36628
23/06/2016,19.5,9.169,25129
24/06/2016,17.2,0.4,36530
25/06/2016,15.9,0.215,26357
26/06/2016,15.9,0.406,29597
27/06/2016,17.7,1.196,33695
28/06/2016,16.0,1.997,31701
29/06/2016,14.7,0.412,31496
30/06/2016,16.6,0.807,35867
01/07/2016,16.1,1.993,28108
02/07/2016,14.6,6.169,30802
03/07/2016,16.1,0.198,34195
04/07/2016,16.8,0.0,37628
05/07/2016,17.7,0.0,40955
06/07/2016,17.5,0.0,42871
07/07/2016,18.6,0.0,39670
08/07/2016,18.8,0.0,37311
09/07/2016,19.2,0.0,34525
10/07/2016,19.0,0.002,29556
11/07/2016,17.5,1.005,32781
12/07/2016,15.3,9.996,30186
13/07/2016,15.5,1.003,36128
14/07/2016,16.8,0.0,40364
15/07/2016,16.3,0.0,37045
16/07/2016,21.0,0.0,38916
17/07/2016,22.2,0.0,38340
18/07/2016,22.9,0.0,43497
19/07/2016,25.2,0.0,46625
20/07/2016,24.6,0.0,45156
21/07/2016,20.0,12.901,41731
22/07/2016,20.5,0.202,36401
23/07/2016,21.6,0.0,42121
24/07/2016,19.9,0.0,39070
25/07/2016,19.5,0.198,40999
26/07/2016,18.6,0.0,42528
27/07/2016,19.8,1.008,33646
28/07/2016,18.6,0.202,39009
29/07/2016,18.7,1.193,35737
30/07/2016,18.8,0.596,46251
31/07/2016,18.5,0.0,46276
01/08/2016,15.9,0.401,30074
02/08/2016,18.1,13.012,28949
03/08/2016,20.0,0.0,40683
04/08/2016,18.4,0.001,39488
05/08/2016,18.7,0.0,40570
06/08/2016,19.5,0.0,42579
07/08/2016,21.0,0.0,38620
08/08/2016,18.0,0.0,38117
09/08/2016,16.1,0.001,40052
10/08/2016,15.6,0.0,38917
11/08/2016,18.3,0.0,38034
12/08/2016,19.9,0.0,40645
13/08/2016,19.5,0.0,43792
14/08/2016,19.4,0.0,44648
15/08/2016,18.3,0.0,41764
16/08/2016,18.2,0.0,40899
17/08/2016,19.4,0.0,42879
18/08/2016,19.6,0.0,39379
19/08/2016,17.7,0.614,25862
20/08/2016,17.3,1.998,24712
21/08/2016,17.9,0.996,28625
22/08/2016,19.9,0.4,36064
23/08/2016,22.0,6.947,42558
24/08/2016,24.9,0.0,41088
25/08/2016,23.5,0.21,38191
26/08/2016,22.3,0.598,38222
27/08/2016,21.1,0.0,32656
28/08/2016,19.3,1.009,26325
29/08/2016,19.0,0.002,34665
30/08/2016,19.4,0.0,39992
31/08/2016,18.4,0.0,39344
01/09/2016,18.4,0.0,40302
02/09/2016,17.3,0.001,34661
03/09/2016,17.0,3.01,23805
04/09/2016,18.3,1.004,27901
05/09/2016,18.1,1.006,28210
06/09/2016,21.6,0.0,37982
07/09/2016,22.2,0.0,40232
08/09/2016,19.5,0.0,41004
09/09/2016,18.9,0.198,36554
10/09/2016,18.5,4.003,17308
11/09/2016,15.7,0.205,39906
12/09/2016,19.1,0.001,39687
13/09/2016,24.1,0.0,44035
14/09/2016,23.1,0.0,44909
15/09/2016,22.1,0.014,42598
16/09/2016,17.1,14.257,22204
17/09/2016,15.0,0.004,27548
18/09/2016,16.9,0.0,29830
19/09/2016,17.2,0.006,33401
20/09/2016,16.5,0.848,37658
21/09/2016,18.0,0.0,40646
22/09/2016,16.8,0.0,38411
23/09/2016,14.7,0.0,38963
24/09/2016,18.0,0.0,36243
25/09/2016,17.1,0.995,30015
26/09/2016,14.5,0.002,35059
27/09/2016,16.1,0.001,36094
28/09/2016,17.1,0.0,38893
29/09/2016,17.1,1.995,34840
30/09/2016,14.2,0.397,34140
01/10/2016,12.0,5.404,17832
02/10/2016,12.6,0.598,27335
03/10/2016,12.0,0.0,35892
04/10/2016,14.6,0.0,37162
05/10/2016,14.3,0.0,36314
06/10/2016,12.9,0.0,35332
07/10/2016,13.5,0.0,33361
08/10/2016,13.9,0.2,27236
09/10/2016,12.0,0.4,25390
10/10/2016,10.8,0.0,33045
11/10/2016,11.0,0.0,35254
12/10/2016,12.4,0.404,32552
13/10/2016,11.0,1.998,30762
14/10/2016,12.0,0.0,32637
15/10/2016,12.5,5.005,23773
16/10/2016,12.8,3.821,18685
17/10/2016,12.9,6.966,29007
18/10/2016,11.3,0.001,33062
19/10/2016,11.4,0.0,33953
20/10/2016,11.8,0.002,32624
21/10/2016,11.0,0.0,30838
22/10/2016,10.6,0.0,26322
23/10/2016,10.1,0.0,23812
24/10/2016,11.6,0.0,30329
25/10/2016,11.8,0.003,33313
26/10/2016,12.8,0.001,34322
27/10/2016,11.9,0.005,34203
28/10/2016,14.1,0.0,33769
29/10/2016,13.7,0.0,28114
30/10/2016,11.2,0.001,24166
31/10/2016,13.2,0.001,34747
01/11/2016,10.2,0.001,32334
02/11/2016,7.1,0.0,32316
03/11/2016,7.0,0.0,31111
04/11/2016,8.8,0.045,22143
05/11/2016,6.2,0.001,19649
06/11/2016,5.1,0.015,13576
07/11/2016,6.6,0.001,17329
08/11/2016,3.8,0.001,26382
09/11/2016,6.9,23.94,18878
10/11/2016,6.9,0.996,26075
11/11/2016,7.0,0.995,28088
12/11/2016,9.1,7.995,9709
13/11/2016,8.5,0.2,19258
14/11/2016,9.9,0.2,24824
15/11/2016,13.8,0.001,28810
16/11/2016,12.4,0.406,27646
17/11/2016,9.4,2.999,27692
18/11/2016,5.5,0.399,26884
19/11/2016,4.9,0.005,18288
20/11/2016,7.2,5.132,10704
21/11/2016,9.4,14.028,19374
22/11/2016,9.9,0.811,27723
23/11/2016,8.8,0.001,29047
24/11/2016,10.1,0.0,28091
25/11/2016,8.3,0.0,27692
26/11/2016,6.4,0.0,19805
27/11/2016,7.6,0.199,15628
28/11/2016,6.8,0.0,26980
29/11/2016,3.4,0.0,27847
30/11/2016,1.1,0.001,27119
01/12/2016,2.3,0.0,26431
02/12/2016,6.6,0.0,26223
03/12/2016,6.6,0.002,18120
04/12/2016,5.0,0.0,15448
05/12/2016,4.2,0.0,26456
06/12/2016,7.4,0.0,28347
07/12/2016,11.2,0.0,29735
08/12/2016,11.9,0.0,28632
09/12/2016,12.6,0.001,30076
