datetime,temp,precip,Number of Bicycle Hires
16/09/2011,17.0,0.001,25567
17/09/2011,14.5,1.991,15147
18/09/2011,11.6,0.995,17327
19/09/2011,14.0,0.001,23708
20/09/2011,16.8,0.298,23676
21/09/2011,15.3,1.02,22730
22/09/2011,15.2,0.001,24601
23/09/2011,13.9,0.001,25114
24/09/2011,14.6,0.001,22113
25/09/2011,16.7,0.001,21211
26/09/2011,18.0,1.003,20527
27/09/2011,16.0,4.071,24841
28/09/2011,19.1,0.001,28434
29/09/2011,20.2,0.298,29039
30/09/2011,20.1,0.0,29139
01/10/2011,20.0,0.0,27129
02/10/2011,19.7,0.0,26906
03/10/2011,20.0,0.0,27559
04/10/2011,17.2,0.0,26131
05/10/2011,17.5,0.002,26263
06/10/2011,13.9,0.024,25083
07/10/2011,12.2,0.299,24529
08/10/2011,12.5,0.0,18154
09/10/2011,17.1,0.007,17643
10/10/2011,17.6,0.0,24198
11/10/2011,17.0,0.0,26184
12/10/2011,16.6,0.794,26323
13/10/2011,15.2,0.0,25149
14/10/2011,12.9,0.0,26542
15/10/2011,11.6,0.0,23663
16/10/2011,10.2,0.0,18530
17/10/2011,12.7,0.002,23892
18/10/2011,10.8,3.007,23791
19/10/2011,8.2,0.002,23259
20/10/2011,7.3,0.299,23157
21/10/2011,10.3,0.001,23253
22/10/2011,10.5,0.0,20482
23/10/2011,14.3,0.0,18560
24/10/2011,14.0,0.0,22842
25/10/2011,13.4,7.072,22771
26/10/2011,9.9,4.001,17621
27/10/2011,12.5,1.001,19360
28/10/2011,12.9,0.509,23158
29/10/2011,13.9,0.001,18228
30/10/2011,15.5,0.001,15443
31/10/2011,15.1,0.001,22999
01/11/2011,13.2,1.006,22747
02/11/2011,12.7,0.002,23724
03/11/2011,15.6,5.597,18676
04/11/2011,13.7,15.228,18774
05/11/2011,12.6,0.001,16434
06/11/2011,11.1,0.0,14317
07/11/2011,11.7,0.0,20365
08/11/2011,10.6,0.803,19231
09/11/2011,12.0,0.997,22542
10/11/2011,12.0,0.298,23475
11/11/2011,10.3,0.299,21140
12/11/2011,13.7,0.009,18933
13/11/2011,12.4,0.298,17744
14/11/2011,9.4,0.298,19913
15/11/2011,9.2,0.0,22245
16/11/2011,6.8,0.001,21639
17/11/2011,11.0,0.0,22802
18/11/2011,11.5,0.0,22461
19/11/2011,9.8,0.3,18706
20/11/2011,7.7,0.002,14829
21/11/2011,9.3,0.3,20824
22/11/2011,11.2,0.798,20341
23/11/2011,7.8,0.001,21855
24/11/2011,10.6,0.002,21870
25/11/2011,11.1,0.997,21598
26/11/2011,10.3,0.0,15803
27/11/2011,11.2,0.001,14362
28/11/2011,7.0,0.298,20167
29/11/2011,12.0,0.509,18718
30/11/2011,9.3,0.498,20956
01/12/2011,10.0,0.328,16481
02/12/2011,6.0,1.12,19146
03/12/2011,10.4,0.507,13776
04/12/2011,8.0,0.003,10276
05/12/2011,4.8,0.3,18176
06/12/2011,5.0,0.001,18943
07/12/2011,7.7,1.988,19279
08/12/2011,9.3,0.002,17313
09/12/2011,5.6,1.008,18421
10/12/2011,2.9,0.0,11864
11/12/2011,6.6,0.301,8368
12/12/2011,6.8,4.124,16554
13/12/2011,8.2,11.267,17111
14/12/2011,5.4,0.302,17543
15/12/2011,6.4,0.3,17081
16/12/2011,3.8,10.499,11778
17/12/2011,3.2,0.503,8925
18/12/2011,2.4,0.003,7485
19/12/2011,3.4,4.111,11270
20/12/2011,6.8,0.001,15685
21/12/2011,9.7,0.802,14158
22/12/2011,10.2,0.299,15099
23/12/2011,9.8,4.106,9131
24/12/2011,6.1,0.003,4890
25/12/2011,10.8,0.498,17998
26/12/2011,11.7,0.0,10953
27/12/2011,10.1,0.0,8076
28/12/2011,9.1,0.001,9888
29/12/2011,7.5,4.081,8368
30/12/2011,6.8,3.321,6900
31/12/2011,11.5,1.972,7793
01/01/2012,11.2,8.615,5171
02/01/2012,6.0,10.933,9091
03/01/2012,8.9,8.417,10094
04/01/2012,7.2,0.0,13936
05/01/2012,9.9,4.584,14191
06/01/2012,7.3,0.001,17713
07/01/2012,9.6,0.0,12556
08/01/2012,9.0,0.0,10487
09/01/2012,10.3,0.299,19472
10/01/2012,10.3,0.001,20548
11/01/2012,9.4,0.496,20958
12/01/2012,9.2,0.0,20879
13/01/2012,4.7,0.0,19691
14/01/2012,2.7,0.001,13843
15/01/2012,3.7,0.299,12149
16/01/2012,3.4,0.0,19136
17/01/2012,2.9,0.001,20170
18/01/2012,9.5,0.801,17972
19/01/2012,9.8,8.077,15441
20/01/2012,8.0,0.0,18703
21/01/2012,10.5,0.298,13339
22/01/2012,8.7,0.299,12845
23/01/2012,6.5,0.0,20193
24/01/2012,6.1,5.114,13269
25/01/2012,9.5,0.003,20836
26/01/2012,7.6,0.511,19515
27/01/2012,5.4,0.005,20775
28/01/2012,5.0,0.006,13272
29/01/2012,3.5,0.001,10949
30/01/2012,3.0,0.299,18955
31/01/2012,1.7,0.298,18176
01/02/2012,1.3,0.0,18208
02/02/2012,-0.2,0.0,16916
03/02/2012,-0.2,0.0,16185
04/02/2012,-0.7,0.0,8348
05/02/2012,1.1,6.375,3531
06/02/2012,2.8,3.983,15202
07/02/2012,0.9,0.002,17722
08/02/2012,0.1,0.0,16442
09/02/2012,0.7,0.0,16363
10/02/2012,0.1,1.004,15117
11/02/2012,-1.0,0.0,9912
12/02/2012,1.2,0.298,8020
13/02/2012,4.6,0.501,13172
14/02/2012,6.8,0.004,17946
15/02/2012,9.1,0.0,19396
16/02/2012,8.3,0.298,19505
17/02/2012,9.6,0.298,19444
18/02/2012,8.0,3.002,9463
19/02/2012,4.1,0.0,12655
20/02/2012,3.9,0.0,18802
21/02/2012,8.8,0.496,20861
22/02/2012,9.0,1.0,18112
23/02/2012,13.2,0.0,23391
24/02/2012,11.6,0.0,22067
25/02/2012,9.9,0.0,19349
26/02/2012,8.5,0.0,17646
27/02/2012,9.2,0.001,20936
28/02/2012,11.5,0.298,23423
29/02/2012,10.9,0.0,23692
01/03/2012,11.0,0.0,25116
02/03/2012,7.9,0.0,21928
03/03/2012,9.9,0.003,17697
04/03/2012,6.8,3.369,5062
05/03/2012,6.8,1.987,19342
06/03/2012,5.4,0.0,21102
07/03/2012,7.9,0.525,17096
08/03/2012,7.7,0.992,24123
09/03/2012,9.6,0.496,23609
10/03/2012,12.0,0.0,24721
11/03/2012,11.2,0.298,27758
12/03/2012,9.4,0.0,28856
13/03/2012,8.0,0.001,27528
14/03/2012,7.7,0.0,28296
15/03/2012,9.6,0.005,29969
16/03/2012,9.3,0.0,26452
17/03/2012,9.4,0.007,13391
18/03/2012,7.4,0.311,19184
19/03/2012,8.0,0.0,28391
20/03/2012,9.9,1.291,30817
21/03/2012,11.7,0.0,31175
22/03/2012,11.1,0.0,31135
23/03/2012,13.1,0.0,33635
24/03/2012,12.3,0.0,35091
25/03/2012,9.0,0.0,28607
26/03/2012,10.6,0.0,32368
27/03/2012,12.1,0.298,34563
28/03/2012,13.7,0.0,36539
29/03/2012,13.7,0.0,35954
30/03/2012,12.7,0.0,35666
31/03/2012,9.4,0.0,23038
01/04/2012,8.3,0.0,30513
02/04/2012,9.9,0.0,32142
03/04/2012,9.6,0.5,25956
04/04/2012,7.7,7.064,27912
05/04/2012,7.6,0.3,24383
06/04/2012,7.4,0.0,22354
07/04/2012,9.1,0.003,16848
08/04/2012,9.9,0.8,15717
09/04/2012,9.8,4.899,6214
10/04/2012,9.6,4.005,24898
11/04/2012,9.0,0.004,29345
12/04/2012,8.5,0.51,25772
13/04/2012,8.5,0.001,27673
14/04/2012,8.7,4.071,26193
15/04/2012,6.7,0.0,10188
16/04/2012,6.9,0.298,28188
17/04/2012,8.3,1.011,20105
18/04/2012,8.0,5.331,16651
19/04/2012,7.8,20.315,18759
20/04/2012,8.2,3.025,22730
21/04/2012,8.5,0.511,22014
22/04/2012,9.0,1.502,19707
23/04/2012,8.1,1.521,19262
24/04/2012,9.4,5.793,27522
25/04/2012,8.9,1.12,12737
26/04/2012,11.1,0.047,21740
27/04/2012,11.4,0.027,24263
28/04/2012,8.8,0.025,7827
29/04/2012,9.4,0.103,9951
30/04/2012,13.4,0.0,31909
01/05/2012,13.9,13.884,24523
02/05/2012,11.5,0.0,28381
03/05/2012,8.9,0.517,23768
04/05/2012,8.4,0.499,25503
05/05/2012,7.9,0.01,16009
06/05/2012,7.4,0.303,17160
07/05/2012,9.8,0.003,15227
08/05/2012,13.5,0.02,28585
09/05/2012,13.3,0.018,21758
10/05/2012,15.7,0.087,26164
11/05/2012,13.3,0.0,31385
12/05/2012,10.7,0.0,30699
13/05/2012,11.8,0.0,28778
14/05/2012,9.8,0.51,23344
15/05/2012,8.2,6.096,18409
16/05/2012,9.9,0.5,31453
17/05/2012,11.4,0.0,31219
18/05/2012,13.0,0.0,30945
19/05/2012,13.6,0.3,28474
20/05/2012,10.8,0.0,22286
21/05/2012,12.7,0.0,30905
22/05/2012,18.0,0.0,36720
23/05/2012,19.6,0.0,40486
24/05/2012,20.7,0.0,42008
25/05/2012,20.6,0.0,41357
26/05/2012,20.3,0.0,39358
27/05/2012,20.3,0.0,38781
28/05/2012,20.8,0.0,40872
29/05/2012,18.5,0.0,37962
30/05/2012,18.7,0.014,38803
31/05/2012,16.8,0.298,35630
01/06/2012,17.1,0.0,34524
02/06/2012,14.2,0.798,25283
03/06/2012,11.7,20.818,12207
04/06/2012,10.9,15.953,22649
05/06/2012,11.7,5.397,15537
06/06/2012,15.2,2.508,30297
07/06/2012,14.8,8.42,23066
08/06/2012,13.9,4.012,22224
09/06/2012,14.4,0.001,29258
10/06/2012,13.8,0.003,20876
11/06/2012,12.4,33.997,10252
12/06/2012,11.9,10.876,23742
13/06/2012,13.4,0.0,34447
14/06/2012,13.9,0.0,31593
15/06/2012,15.3,3.029,30944
16/06/2012,15.2,0.001,26300
17/06/2012,16.1,0.0,28531
18/06/2012,15.0,2.307,31089
19/06/2012,16.1,0.299,37601
20/06/2012,17.2,0.0,39267
21/06/2012,15.8,4.603,27052
22/06/2012,14.9,2.018,33027
23/06/2012,14.8,0.3,26900
24/06/2012,15.7,11.408,23509
25/06/2012,17.3,0.001,36337
26/06/2012,18.5,0.0,37652
27/06/2012,19.7,0.0,36767
28/06/2012,21.8,0.3,39571
29/06/2012,17.2,0.0,35321
30/06/2012,17.5,0.017,32982
01/07/2012,15.1,0.301,27438
02/07/2012,15.4,1.013,24963
03/07/2012,17.1,2.51,27163
04/07/2012,18.6,7.105,32433
05/07/2012,18.8,0.004,40565
06/07/2012,16.5,3.517,24723
07/07/2012,16.3,0.5,24782
08/07/2012,16.1,19.07,15855
09/07/2012,16.2,0.502,30523
10/07/2012,15.5,2.014,29723
11/07/2012,14.9,7.562,30544
12/07/2012,14.3,1.331,24736
13/07/2012,16.2,0.545,28875
14/07/2012,14.8,0.046,17999
15/07/2012,15.5,0.011,29938
16/07/2012,15.5,0.012,24218
17/07/2012,18.6,0.0,36788
18/07/2012,17.0,1.312,29841
19/07/2012,17.2,0.002,37032
20/07/2012,15.6,0.506,31187
21/07/2012,16.1,0.0,34776
22/07/2012,17.9,0.0,38620
23/07/2012,20.6,0.0,42309
24/07/2012,22.2,0.0,45748
25/07/2012,23.2,0.0,45024
26/07/2012,21.4,0.0,46891
27/07/2012,20.3,0.0,42815
28/07/2012,18.1,0.298,44617
29/07/2012,14.5,4.1,26352
30/07/2012,15.4,0.0,41891
31/07/2012,16.1,3.787,35805
01/08/2012,18.3,0.001,41603
02/08/2012,18.6,0.012,43183
03/08/2012,17.8,0.004,43045
04/08/2012,17.6,1.025,39082
05/08/2012,16.9,7.076,30150
06/08/2012,17.5,0.022,37198
07/08/2012,15.7,0.504,38134
08/08/2012,19.2,1.002,42263
09/08/2012,20.4,0.001,46050
10/08/2012,20.6,0.0,47102
11/08/2012,19.5,0.0,44111
12/08/2012,20.6,0.0,41734
13/08/2012,19.0,0.004,36101
14/08/2012,20.6,0.312,41532
15/08/2012,19.9,0.504,36557
16/08/2012,19.1,0.795,38181
17/08/2012,22.3,0.001,40821
18/08/2012,25.2,0.0,40577
19/08/2012,23.9,0.497,35370
20/08/2012,20.7,0.0,37997
21/08/2012,19.1,0.0,39185
22/08/2012,17.6,0.3,39962
23/08/2012,17.6,0.0,36578
24/08/2012,17.1,0.003,33329
25/08/2012,17.0,12.885,17802
26/08/2012,17.2,11.629,31939
27/08/2012,17.5,0.002,27522
28/08/2012,18.5,0.014,37362
29/08/2012,15.8,0.027,30916
30/08/2012,15.0,1.505,30379
31/08/2012,13.7,0.001,37406
01/09/2012,16.7,0.0,33123
02/09/2012,16.0,0.299,27997
03/09/2012,19.3,0.0,39941
04/09/2012,19.0,0.0,40298
05/09/2012,16.4,0.0,40606
06/09/2012,15.6,0.0,39864
07/09/2012,18.2,0.0,41414
08/09/2012,18.5,0.0,40978
09/09/2012,18.6,0.0,39006
